id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
1,,,1,0.5,1,0.2,42830,598,1,12.7,15.1,1,32.1,35,1,19.8,22.5,
2,,,2,0.9,2,0.3,71583,1784,4,13.3,16.6,3,27.8,31.6,4,18.2,21.6,
3,,,3,0.9,3,0.3,71583,1784,10,13.3,16.6,7,27.8,31.6,10,18.2,21.6,
4,,,4,0.4,4,0.1,50068,483,17,13.3,15.6,13,27.7,30.2,17,15.4,17.6,
5,,,5,0.5,5,0.2,41262,653,20,14.4,18.2,20,33.8,38,20,22.7,26.7,
6,,,1,0.2,1,0.1,61933,238,1,13.8,15.8,1,23.5,25.9,1,11.9,13.8,
7,,,2,0.2,2,0.1,61933,238,3,13.8,15.8,3,23.5,25.9,4,11.9,13.8,
8,,,3,0.4,3,0.1,61303,487,7,11.9,13.6,7,20.4,22.2,10,14.8,16.6,
9,,,4,0.5,4,0.2,70048,828,13,7.6,9.7,13,24.8,27.7,17,14.2,16.7,
10,,,5,0.9,5,0.3,59716,1674,20,7.4,9.9,20,28.6,32.7,20,17.9,21.8,
